hhh	杉
hhh	須
hhl	柳
hhv	派
hhv	脈
hi	城
hi	幾
hi	成
hi	戚
hi	機
hi	歳
hi	滅
hi	盛
hi	茂
hi	蔑
hi	誠
hj	千
hj	循
hj	盾
hjd	朱
hjd	殊
hjd	珠
hjg	働
hjg	動
hjg	種
hjg	腫
hjg	薫
hjg	衝
hjg	重
hjm	唾
hjm	垂
hjm	睡
hjm	郵
hjm	錘
hjr	括
hjr	活
hjr	舌
hjr	話
hjw	勲
hk	妖
hk	沃
hk	添
hk	笑
hkb	橋
hkb	矯
hli	嵐
hli	風
hlo	爪
hml	匠
hml	哲
hml	所
hml	折
hml	斤
hml	断
hml	新
hml	析
hml	祈
hml	誓
hml	質
hml	近
hml	逝
hmr	后
hmy	斥
hmy	訴
hn	冗
hn	机
hn	肌
hn	飢
hne	廃
hne	役
hne	投
hne	没
hne	疫
hne	発
hne	股
hne	設
hni	凡
hni	帆
hni	恐
hni	汎
ho	八
hp	宅
hp	託
hp	逓
hpa	婚
hpm	低
hpm	底
hpm	抵
hpm	邸
hq	件
hq	牛
hq	牧
hq	看
hqb	制
hqb	製
hqi	我
hqi	餓
hqm	姓
hqm	性
hqm	星
hqm	牲
hqm	生
hqm	醒
hqo	失
hqo	秩
hqo	迭
hqu	尾
hqu	毛
hqu	耗
hrr	追
hrr	阜
hs	印
hs	啓
hs	戸
hs	戻
hs	扇
hs	涙
hs	炉
hs	肩
hs	雇
hs	顧
hsb	偏
hsb	編
hsb	遍
hsj	段
hsj	鍛
ht	升
ht	昇
ht	飛
hua	潜
huc	賛
hup	息
hup	憩
hus	辺
hvf	係
hvf	孫
hvf	系
hvf	遜
hvl	仰
hvl	抑
hvl	迎
hvo	孤
hvo	弧
hvp	氏
hvp	紙
hw	卑
hw	碑
hwk	窓
hwp	総
hwu	塊
hwu	醜
hwu	鬼
hwu	魂
hx	児
hx	写
hx	挿
hx	捜
hx	旧
hx	潟
hx	痩
hx	稲
hx	臼
hx	薦
hx	陥
hxb	興
hxg	毀
hxh	窮
hxh	身
hxi	射
hxi	謝
hxy	与
hxy	挙
hxy	誉
hye	搬
hye	盤
hye	般
hym	延
hym	誕
i	伐
i	国
i	域
i	惑
i	戒
i	戦
i	械
i	畿
i	私
i	賊
i	閥
iar	倉
iav	浪
iav	良
iav	食
iav	養
ibi	博
ibi	簿
ibi	縛
ibs	敷
ic	翁
ice	俊
ice	唆
ice	酸
idd	摩
idd	磨
idd	魔
ig	粧
ih	威
ih	感
ih	憾
ih	減
ih	越
ii	桟
ii	残
ii	浅
ii	箋
ii	践
ii	銭
iih	参
iih	惨
ijb	哺
ijb	捕
ijb	浦
ijb	舗
ijb	補
ijc	術
ijc	述
ijc	麻
ije	救
ije	求
ije	球
ik	伏
ik	犬
ik	状
ik	献
ik	獸
ik	突
ikk	抜
ikk	髪
iku	就
iku	蹴
ili	強
ill	州
ill	酬
ime	氷
imo	姿
imo	恣
imo	次
imo	盗
imo	羨
imo	茨
imo	諮
imo	資
ine	永
ine	泳
ine	詠
ino	乏
ino	芝
iok	挨
ip	代
ip	式
ip	弐
ip	拭
ip	武
ip	袋
ip	試
ip	貸
ip	賦
ipp	態
ipp	熊
ipp	罷
ipp	能
ir	冶
ir	台
ir	始
ir	怠
ir	治
ir	胎
it	弁
ite	度
ite	渡
itf	庶
itf	遮
iua	稽
ix	慶
ix	鹿
ix	麓
ix	麗
j	十
j	汁
j	計
j	針
jb	南
jb	肺
jbc	塡
jbc	慎
jbc	真
jbc	鎮
jbj	軍
jbm	値
jbm	植
jbm	殖
jbm	直
jbm	置
jc	穴
jd	味
jd	妹
jd	昧
jd	未
jd	魅
je	伎
je	岐
je	技
je	支
je	枝
je	肢
ji	戴
ji	栽
ji	繊
ji	裁
ji	載
ji	鉄
jii	伝
jii	団
jii	専
jip	穂
jjb	嘲
jjb	朝
jjb	潮
jjl	斬
jjl	暫
jjl	漸
jk	丈
jka	暑
jka	煮
jka	着
jka	箸
jka	緒
jka	署
jka	者
jka	著
jka	諸
jka	賭
jka	都
jkd	孝
jkd	教
jkd	酵
jkp	老
jks	拷
jks	考
jlk	使
jlk	吏
jln	事
jlv	凄
jlv	妻
jm	士
jmc	浜
jmc	賓
jmf	宗
jmf	崇
jmf	踪
jmn	貯
jmo	錠
jmu	院
jqm	憲
jqr	割
jqr	轄
jr	個
jr	克
jr	古
jr	固
jr	居
jr	据
jr	故
jr	枯
jr	湖
jr	箇
jr	苦
jr	裾
jr	錮
jtc	噴
jtc	墳
jtc	憤
ju	七
jv	安
jv	案
jwi	恵
jwj	庫
jwj	車
jwj	連
jwj	陣
jwp	庁
jwp	徳
jwp	聴
k	咽
k	因
k	大
k	姻
k	恩
k	温
kb	堕
kb	惰
kb	有
kb	賄
kb	随
kb	髄
kcf	僚
kcf	寮
kcf	療
kcf	瞭
kd	刹
kd	殺
ke	友
ki	太
ki	汰
ki	雄
ki	駄
kkk	爽
kl	在
kl	存
klb	希
klb	怖
km	佐
km	左
kmr	埼
kmr	奇
kmr	寄
kmr	崎
kmr	椅
kmr	騎
kms	誇
kn	丸
kn	九
kn	尻
kn	染
kn	究
kn	軌
kog	奮
kok	嫉
kok	疾
koo	峡
koo	挟
koo	狭
koo	頰
kr	匿
kr	右
kr	若
kr	諾
ks	力
ks	協
ks	寡
ks	男
ks	筋
ksr	加
ksr	架
ksr	賀
kss	脅
kss	脇
kwu	俺
l	中
l	仲
l	忠
l	沖
l	虫
lb	巾
lb	布
lb	帥
lb	庸
lbk	央
lbk	映
lbk	英
lbu	枕
lbu	沈
le	康
le	逮
lg	昼
lg	書
lg	画
lk	史
ll	串
ll	患
ll	班
lll	川
lll	片
lll	訓
lll	順
lln	仏
lln	払
lln	沸
lln	費
lmc	潰
lmc	貴
lmc	遺
lmf	尽
lmo	兆
lmo	挑
lmo	桃
lmo	眺
lmo	跳
lmo	逃
lmp	北
lmp	背
lmr	遣
lmy	俳
lmy	悲
lmy	扉
lmy	排
lmy	罪
lmy	輩
lmy	非
ln	刈
ln	利
ln	梨
ln	痢
ln	罰
lq	律
lq	津
lq	筆
lr	唐
lr	糖
lw	宙
lw	抽
lw	油
lw	由
lw	笛
lw	袖
lw	軸
lwl	伸
lwl	申
lwl	神
lwl	紳
lwv	数
lwv	楼
lxh	姉
m	一
m	圧
ma	宿
ma	百
ma	縮
maf	願
mam	垣
mam	宣
mam	恒
mb	雨
mbe	優
mbe	憂
mbl	儒
mbl	需
mbu	夏
mcb	璽
mcw	西
mcw	遷
mcw	酒
md	宇
md	汚
md	芋
mdm	五
mem	極
mf	不
mf	否
mf	杯
mfb	弥
mfj	坪
mfj	平
mfj	評
mg	呈
mg	弄
mg	旺
mg	潤
mg	狂
mg	王
mg	皇
mgb	再
mgi	玉
mhf	原
mhf	源
mhi	築
mig	倒
mig	到
mig	室
mig	窒
mig	緻
mig	至
mig	致
mj	刊
mj	岸
mj	干
mj	幹
mj	汗
mj	肝
mj	軒
mjr	舎
mk	天
mk	蚕
mlb	師
mlj	敢
mlk	便
mlk	更
mlk	梗
mlk	硬
mllm	亜
mllm	悪
mlm	功
mlm	工
mlm	巧
mlm	控
mlm	攻
mlm	江
mlm	空
mlm	紅
mlm	虹
mlm	貢
mlm	項
mlo	両
mm	二
mm	仁
mmf	奈
mmf	示
mmi	曇
mmi	雲
mmm	三
mmn	桁
mmn	行
mmr	悟
mmr	語
mmu	元
mmu	冠
mmu	完
mmu	玩
mmu	頑
mmv	唇
mmv	娠
mmv	振
mmv	辱
mmv	震
mn	丁
mn	乙
mn	亭
mn	停
mn	寧
mn	打
mn	町
mn	訂
mn	頂
mnn	例
mnn	列
mnn	烈
mnn	裂
mnp	死
mnp	葬
mnr	何
mnr	可
mnr	歌
mnr	河
mnr	苛
mnr	荷
mob	丙
mob	柄
mob	病
mpo	塚
mqj	拝
mr	妬
mr	岩
mr	拓
mr	捨
mr	石
mrb	融
mrb	隔
mrt	澄
mrt	灯
mrt	痘
mrt	登
mrt	短
mrt	豆
mrt	闘
mrt	頭
mrw	副
mrw	富
mrw	幅
mrw	当
mrw	福
msj	厳
