bm,阻,ソ、はば-む,[はばむ],阻む
bmc ,具,グ,[こうぐ],工具
bmc,惧,グ,[きぐする],危惧する
bme,媛,エン,[えひめけん],愛媛県
bme,援,エン,[えんじょ],援助
bme,暖,ダン、あたた-か、あたた-かい、あたた-まる、あたた-める,[おんだん],温暖
bme,緩,カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める,[ゆるい],緩い
bmr ,同,ドウ、おな-じ,[おなじ],同じ
bmr,洞,ドウ、ほら,[ほらあな],洞穴
bmr,筒,トウ、つつ,[つつ],筒
bmr,胴,ドウ,[どうなが],胴長
bmr,銅,ドウ,[どうせん],銅銭
bnd,乳,ニュウ、ちち、ち,[ぎゅうにゅう],牛乳
bnd,浮,フ、う-く、う-かれる、う-かぶ、う-かべる,[うく],浮く
bof ,祭,サイ、まつ-る、まつ-り,[まつる],祭る
bof,察,サツ,[ささつ],査察
bof,擦,サツ、す-る、す-れる,[まさつ],摩擦
bof,際,サイ、きわ,[きわ],際
bou,揺,ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる,[ゆれる],揺れる
bou,謡,ヨウ、うたい、うた-う,[みんよう],民謡
bpe,愛,アイ,[あいじょう],愛情
bpe,曖,アイ,[あいまい],曖昧
bq,用,ヨウ、もち-いる,[もちいる],用いる
bsd ,争,ソウ、あらそ-う,[あらそう],争う
bsd,浄,ジョウ,[じょうすいき],浄水機
bsp,穏,オン、おだ-やか,[おだやか],穏やか
bsp,隠,イン、かく-す、かく-れる,[かくれる],隠れる
bss,凸,トツ,[とっぱん],凸版
bt ,冊,サツ、サク,[いっさつ]の本,一冊
bt,柵,サク,公園の[さく],柵
bt,皿,さら,[さら],皿
btu ,岡,（おか）,[おかやま]県,岡山
btu,剛,ゴウ,[ごうもう],剛毛
btu,綱,コウ、つな,[つな],綱
btu,鋼,コウ、はがね,[はがね],鋼
btv,網,モウ、あみ,[あみ],綱
bu ,目,モク、（ボク）、め、（ま）,[もくぜん],目前
bu,眉,ビ、（ミ）、まゆ,[まゆげ],眉毛
bu1 ,冒,ボウ、おか-す,[ぼうけん],冒険
bu1,帽,ボウ,ニット[ぼう],帽
buc ,貝,かい,巻き[がい],貝
buc,唄,（うた）,[びばい],美唄
buc,売,バイ、う-る、う-れる,[しょうばい],商売
buc,宝,ホウ、たから,[たから],宝
buc,敗,ハイ、やぶ-れる,試合に[やぶれる],敗れる
buc,買,バイ、か-う,売り[かい],買い
buf ,県,ケン,[とどうふけん],都道府県
buf,懸,ケン、（ケ）、か-ける、か-かる,[けんすい]運動,懸垂
buu ,見,ケン、み-る、み-える、み-せる,[けんぶつ],見物
buu,寛,カン,[かんだい]な心,寛大
buu,現,ゲン、あらわ-れる、あらわ-す,[あらわれる],現れる
buu,規,キ,[きそく],規則
buu,視,シ,[けいし]庁,警視
buu,覚,カク、おぼ-える、さ-ます、さ-める,[かくご],覚悟
bvk,渓,ケイ,[じょうざんけい],定山渓
bvk,鶏,ケイ、にわとり,[にわとり],鶏
by,丹,タン,[たんねん],丹念
c,金,キン、コン、かね、（かな）,[きんじとう],金字塔
ci ,公,コウ、おおやけ,[おおやけ],公
ci,松,ショウ、まつ,[しょうちくばい],松竹梅
ci,訟,ショウ,刑事[そしょう],訴訟
ck ,父,フ、ちち,[ふぼ],父母
ck,釜,かま,[かまめし],釜飯
cor ,谷,コク、たに,[たにぞこ],谷底
cor,俗,ゾク,[ぞくご],俗語
cor,容,ヨウ,木の[ようき],容器
cor,欲,ヨク、ほっ-する、ほ-しい,[ほしい],欲しい
cor,浴,ヨク、あ-びる、あ-びせる,[あびる],浴びる
cor,溶,ヨウ、と-ける、と-かす、と-く,水[よう]液,溶
cor,裕,ユウ,余[ゆう],裕
cor1 ,却,キャク,退[きゃく],却
cor1,脚,キャク、（キャ）、あし,三[きゃく],脚
cr,沿,エン、そ-う,[えん]岸,沿
cr,船,セン、ふね、（ふな）,[せん]舶,船
cr,鉛,エン、なまり,[えん]筆,鉛
cru,悦,エツ,愉[えつ],悦
